registration_date,nationality_e,gender_e,vechile_type,manufacture_year,color,business_individual,km_driven,next_service_date,service_frequency,customer_age,customer_id,vehicle_age,churn_risk,upgrade_probability,churn_risk_predicted,upgrade_probability_predicted
03/09/2017,Afghanistan,MALE,Light Vehicle,2006,Silver,Private,160000,02/03/2026 12:00,low,39,1,19,1,1,0.27,1
16/09/2021,Afghanistan,MALE,Light Vehicle,2020,White,Private,80000,16/03/2026 12:00,medium,36,2,5,1,0,0.63,0.02
19/02/2020,Albania,MALE,Light Vehicle,2009,Blue,Private,100000,18/08/2025 12:00,low,34,3,16,1,1,0.59,1
17/03/2019,Algeria,MALE,Light Vehicle,2018,Black,Private,120000,13/09/2025 12:00,medium,40,4,7,0,0,0.37,0.6
06/02/2016,Algeria,MALE,Light Vehicle,2014,White,Private,180000,04/08/2025 12:00,high,33,5,11,0,1,0.22,1
06/02/2016,Armenia,MALE,Light Vehicle,2009,Silver,Private,180000,04/08/2025 12:00,low,38,6,16,1,1,0.18,1
10/06/2015,Australia,FEMALE,Light Vehicle,1968,Red,Private,200000,06/12/2025 12:00,high,45,7,57,0,1,0.24,1
25/01/2021,Australia,MALE,Light Vehicle,2018,White,Private,80000,25/07/2025 12:00,medium,43,8,7,1,0,0.64,0.14
24/03/2019,Azerbaijan,MALE,Light Vehicle,2000,Silver,Private,120000,20/09/2025 12:00,low,28,9,25,1,1,0.51,1
20/12/2019,Bangladesh,FEMALE,Light Vehicle,2011,Silver,Private,120000,18/06/2026 12:00,low,34,10,14,1,1,0.4,1
27/02/2015,Bangladesh,MALE,Light Vehicle,2007,Black,Private,200000,25/08/2025 12:00,medium,47,11,18,0,1,0.09,1
06/11/2021,Bangladesh,MALE,Light Vehicle,2010,Brown,Private,80000,06/05/2026 12:00,medium,47,12,15,1,1,0.59,1
16/11/2020,Bangladesh,MALE,Light Vehicle,2003,Maroon,Private,100000,16/05/2026 12:00,medium,46,13,22,0,1,0.5,1
11/07/2016,Bangladesh,MALE,Light Vehicle,2001,Silver,Private,180000,07/01/2026 12:00,high,42,14,24,0,1,0.23,1
18/04/2016,Bangladesh,MALE,Light Vehicle,2008,White,Private,180000,15/10/2025 12:00,medium,31,15,17,0,1,0.12,1
22/04/2016,Bangladesh,MALE,Light Vehicle,2013,Silver,Private,180000,19/10/2025 12:00,medium,27,16,12,0,1,0.11,1
20/02/2017,Belarus,FEMALE,Light Vehicle,2017,Blue,Private,160000,19/08/2025 12:00,medium,37,17,8,0,1,0.19,0.98
24/09/2018,Belgium,FEMALE,Light Vehicle,2020,Gray,Private,140000,23/03/2026 12:00,medium,39,18,5,0,0,0.26,0.64
10/01/2018,Bulgaria,FEMALE,Light Vehicle,2009,Blue,Private,140000,09/07/2025 12:00,medium,30,19,16,0,1,0.26,1
15/01/2017,Burundi,MALE,Light Vehicle,2013,Maroon,Private,160000,14/07/2025 12:00,high,46,20,12,0,1,0.35,1
23/04/2019,Canada,MALE,Light Vehicle,2021,Black,Private,120000,20/10/2025 12:00,medium,61,21,4,0,0,0.42,0.11
25/12/2015,Canada,MALE,Light Vehicle,2013,Red,Private,200000,22/06/2026 12:00,high,57,22,12,0,1,0.18,1
18/01/2017,China,FEMALE,Light Vehicle,2020,White,Private,160000,17/07/2025 12:00,medium,63,23,5,0,1,0.22,0.78
12/08/2017,China,FEMALE,Light Vehicle,2015,White,Private,160000,08/02/2026 12:00,medium,39,24,10,0,1,0.18,1
18/03/2018,China,MALE,Light Vehicle,2012,White,Private,140000,14/09/2025 12:00,low,43,25,13,1,1,0.34,1
15/07/2020,China,MALE,Light Vehicle,2015,Gray,Private,100000,12/01/2026 12:00,medium,40,26,10,0,1,0.37,0.95
06/06/2016,China,MALE,Light Vehicle,2014,Yellow,Private,180000,03/12/2025 12:00,high,39,27,11,0,1,0.28,1
26/08/2018,China,MALE,Light Vehicle,2017,Black,Private,140000,22/02/2026 12:00,high,37,28,8,0,1,0.41,0.98
28/02/2019,China,MALE,Light Vehicle,2012,Lead,Private,120000,27/08/2025 12:00,medium,35,29,13,0,1,0.34,1
09/05/2015,China,MALE,Light Vehicle,2019,Gray,Private,200000,04/11/2025 12:00,medium,32,30,6,0,1,0.06,0.99
11/04/2019,China,MALE,Light Vehicle,2016,Gray,Private,120000,08/10/2025 12:00,high,31,31,9,0,1,0.51,0.95
17/03/2016,China,MALE,Light Vehicle,2020,Orange,Private,180000,13/09/2025 12:00,high,31,32,5,0,1,0.18,0.96
30/06/2015,China,MALE,Light Vehicle,2011,Black,Private,200000,26/12/2025 12:00,medium,29,33,14,0,1,0.07,1
11/09/2021,Comoros,MALE,Light Vehicle,2007,Silver,Private,80000,11/03/2026 12:00,high,51,34,18,1,1,0.79,1
28/10/2021,Egypt,FEMALE,Light Vehicle,2014,Black,Private,80000,27/04/2026 12:00,low,41,35,11,1,1,0.69,0.9
18/09/2020,Egypt,FEMALE,Light Vehicle,2021,White,Private,100000,18/03/2026 12:00,medium,39,36,4,0,0,0.47,0.03
21/02/2017,Egypt,FEMALE,Light Vehicle,2011,White,Private,160000,20/08/2025 12:00,high,36,37,14,0,1,0.25,1
28/09/2015,Egypt,FEMALE,Light Vehicle,2015,Blue,Private,200000,26/03/2026 12:00,high,33,38,10,0,1,0.14,1
06/11/2019,Egypt,MALE,Light Vehicle,2015,White,Private,120000,05/05/2026 12:00,low,71,39,10,1,1,0.46,0.94
01/02/2018,Egypt,MALE,Motor Cycle,2018,White,Private,140000,31/07/2025 12:00,medium,59,40,7,0,0,0.43,0.87
23/11/2015,Egypt,MALE,Trailer,2020,Beige,Private,200000,21/05/2026 12:00,medium,56,41,5,0,1,0.2,0.99
04/07/2018,Egypt,MALE,Light Vehicle,2015,Green,Private,140000,31/12/2025 12:00,low,54,42,10,1,1,0.39,0.99
06/04/2015,Egypt,MALE,Light Vehicle,2006,Blue,Private,200000,02/10/2025 12:00,low,50,43,19,1,1,0.12,1
25/05/2021,Egypt,MALE,Light Vehicle,2010,Black,Private,80000,22/11/2025 12:00,low,47,44,15,1,1,0.73,1
11/11/2016,Egypt,MALE,Light Vehicle,2009,Silver,Private,180000,10/05/2026 12:00,medium,46,45,16,0,1,0.14,1
